3.390000000000e+01	4.330000000000e+01
3.389657869013e+01	4.330977517107e+01
3.389607357755e+01	4.331009266092e+01
3.389556829418e+01	4.331040987891e+01
3.389506283800e+01	4.331072682144e+01
3.389455720689e+01	4.331104348485e+01
3.389405139875e+01	4.331135986539e+01
3.389354541140e+01	4.331167595924e+01
3.389303924262e+01	4.331199176250e+01
3.389253289016e+01	4.331230727116e+01
3.389202635173e+01	4.331262248115e+01
3.389151962497e+01	4.331293738831e+01
3.389101270748e+01	4.331325198836e+01
3.389050559684e+01	4.331356627694e+01
3.388999829053e+01	4.331388024961e+01
3.388949078602e+01	4.331419390179e+01
3.388898308070e+01	4.331450722884e+01
3.388847517193e+01	4.331482022597e+01
3.388796705700e+01	4.331513288830e+01
3.388745873313e+01	4.331544521084e+01
3.388695019751e+01	4.331575718847e+01
3.388644144724e+01	4.331606881595e+01
3.388593247938e+01	4.331638008792e+01
3.388542329091e+01	4.331669099888e+01
3.388491387875e+01	4.331700154320e+01
3.388440423976e+01	4.331731171511e+01
3.388389437071e+01	4.331762150871e+01
3.388338426831e+01	4.331793091792e+01
3.388287392920e+01	4.331823993654e+01
3.388236334993e+01	4.331854855820e+01
3.388185252697e+01	4.331885677634e+01
3.388134145673e+01	4.331916458428e+01
3.388083013551e+01	4.331947197511e+01
3.388031855953e+01	4.331977894178e+01
3.387980672493e+01	4.332008547703e+01
3.387929462775e+01	4.332039157340e+01
3.387878226393e+01	4.332069722325e+01
3.387826962932e+01	4.332100241871e+01
3.387775671967e+01	4.332130715170e+01
3.387724353060e+01	4.332161141392e+01
3.387673005766e+01	4.332191519680e+01
3.387621629625e+01	4.332221849158e+01
3.387570224168e+01	4.332252128921e+01
3.387518788912e+01	4.332282358039e+01
3.387467323364e+01	4.332312535554e+01
3.387415827016e+01	4.332342660480e+01
3.387364299346e+01	4.332372731801e+01
3.387312739822e+01	4.332402748471e+01
3.387261147894e+01	4.332432709411e+01
3.387209522998e+01	4.332462613510e+01
3.387157864556e+01	4.332492459621e+01
3.387106171973e+01	4.332522246561e+01
3.387054444637e+01	4.332551973109e+01
3.387002681920e+01	4.332581638006e+01
3.386950883177e+01	4.332611239950e+01
3.386899047742e+01	4.332640777597e+01
3.386847174932e+01	4.332670249558e+01
3.386795264045e+01	4.332699654397e+01
3.386743314355e+01	4.332728990630e+01
3.386691325117e+01	4.332758256720e+01
3.386639295565e+01	4.332787451077e+01
3.386587224907e+01	4.332816572055e+01
3.386535112329e+01	4.332845617948e+01
3.386482956992e+01	4.332874586991e+01
